"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Other Processed Fruits and Nuts",42008,"Foodstuffs",4,27497785,2019
"Preparations of vegetables, fruit, nuts or other parts of plants",420,"Fruit Juice",42009,"Foodstuffs",4,50192023,2019
"Miscellaneous edible preparations",421,"Coffee and Tea Extracts",42101,"Foodstuffs",4,2946304,2019
"Miscellaneous edible preparations",421,"Yeast",42102,"Foodstuffs",4,982477,2019
"Miscellaneous edible preparations",421,"Sauces and Seasonings",42103,"Foodstuffs",4,85035712,2019
"Miscellaneous edible preparations",421,"Soups and Broths",42104,"Foodstuffs",4,50341491,2019
"Miscellaneous edible preparations",421,"Ice Cream",42105,"Foodstuffs",4,47011535,2019
"Miscellaneous edible preparations",421,"Other Edible Preparations",42106,"Foodstuffs",4,801713310,2019
"Beverages, spirits and vinegar",422,"Water",42201,"Foodstuffs",4,40161277,2019
"Beverages, spirits and vinegar",422,"Flavored Water",42202,"Foodstuffs",4,98287044,2019
"Beverages, spirits and vinegar",422,"Beer",42203,"Foodstuffs",4,29059835,2019
"Beverages, spirits and vinegar",422,"Wine",42204,"Foodstuffs",4,1260156473,2019
"Beverages, spirits and vinegar",422,"Vermouth",42205,"Foodstuffs",4,263769,2019
"Beverages, spirits and vinegar",422,"Other Fermented Beverages",42206,"Foodstuffs",4,6284960,2019
"Beverages, spirits and vinegar",422,"Alcohol > 80% ABV",42207,"Foodstuffs",4,2812945,2019
"Beverages, spirits and vinegar",422,"Hard Liquor",42208,"Foodstuffs",4,33689907,2019
"Beverages, spirits and vinegar",422,"Vinegar",42209,"Foodstuffs",4,1554988,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Animal Meal and Pellets",42301,"Foodstuffs",4,122983703,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Bran",42302,"Foodstuffs",4,654865,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Starch Residue",42303,"Foodstuffs",4,979497,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Other Vegetable Residues",42306,"Foodstuffs",4,40282,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Wine Lees",42307,"Foodstuffs",4,347238.00000000006,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Other Vegetable Residues and Waste",42308,"Foodstuffs",4,795831,2019
"Food industries, residues and wastes thereof; prepared animal fodder",423,"Animal Food",42309,"Foodstuffs",4,159853838,2019
"Tobacco and manufactured tobacco substitutes",424,"Raw Tobacco",42401,"Foodstuffs",4,92,2019
"Tobacco and manufactured tobacco substitutes",424,"Rolled Tobacco",42402,"Foodstuffs",4,115239491.99999999,2019
"Tobacco and manufactured tobacco substitutes",424,"Processed Tobacco",42403,"Foodstuffs",4,23301373.999999996,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Salt",52501,"Mineral Products",5,14303975,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Sulphur",52503,"Mineral Products",5,35173,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Graphite",52504,"Mineral Products",5,2100,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Sand",52505,"Mineral Products",5,1385294,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Quartz",52506,"Mineral Products",5,26168,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Kaolin",52507,"Mineral Products",5,5013522,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Clays",52508,"Mineral Products",5,1147500,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Chalk",52509,"Mineral Products",5,388,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Calcium Phosphates",52510,"Mineral Products",5,18557,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Barium Sulphate",52511,"Mineral Products",5,11241,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Siliceous Fossil Meals",52512,"Mineral Products",5,29862,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Pumice",52513,"Mineral Products",5,200216,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Slate",52514,"Mineral Products",5,10630,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Marble, Travertine and Alabaster",52515,"Mineral Products",5,17522,2019
"Salt; sulphur; earths, stone; plastering materials, lime and cement",525,"Granite",52516,"Mineral Products",5,38027,2019
